"","doc.text"
"1","1 Political parties
1.1 National
1.2 State Republican chapters
"
"2","1.1 National"
"3","1.2 State Republican chapters"
"4","2 Elected officials
2.1 Presidents
2.2 U.S. Senators
2.2.1 Former U.S. Senators

2.3 Members of the U.S. House of Representatives
2.3.1 Former U.S. Representatives

2.4 U.S. Governors
2.4.1 U.S. Former Governors

2.5 Lieutenant Governors
2.5.1 Former Lieutenant Governors

2.6 Attorneys General
2.6.1 Former Attorneys General

"
"5","2.1 Presidents"
"6","2.2 U.S. Senators
2.2.1 Former U.S. Senators
"
"7","2.2.1 Former U.S. Senators"
"8","2.3 Members of the U.S. House of Representatives
2.3.1 Former U.S. Representatives
"
"9","2.3.1 Former U.S. Representatives"
"10","2.4 U.S. Governors
2.4.1 U.S. Former Governors
"
"11","2.4.1 U.S. Former Governors"
"12","2.5 Lieutenant Governors
2.5.1 Former Lieutenant Governors
"
"13","2.5.1 Former Lieutenant Governors"
"14","2.6 Attorneys General
2.6.1 Former Attorneys General
"
"15","2.6.1 Former Attorneys General"
"16","3 Organizations"
"17","4 See also"
"18","5 References"
"19","Republican Party[4]"
"20","America First Party[5]"
"21","America's Party[6]"
"22","Christian Liberty Party[7]"
"23","Constitution Party[8]"
"24","Independent American Party[9]"
"25","Prohibition Party[10]"
"26","Alabama Republican Party[11]"
"27","Alaska Republican Party[12]"
"28","Arizona Republican Party[13]"
"29","Republican Party of Arkansas[14]"
"30","California Republican Party[15]"
"31","Colorado Republican Party[11]"
"32","Connecticut Republican Party[11]"
"33","Republican State Committee of Delaware[11]"
"34","Republican Party of Florida[11]"
"35","Georgia Republican Party[11]"
"36","Idaho Republican Party[16]"
"37","Illinois Republican Party[17]"
"38","Indiana Republican Party[18]"
"39","Republican Party of Iowa[19]"
"40","Kansas Republican Party[20]"
"41","Republican Party of Kentucky[4]"
"42","Republican Party of Louisiana[21]"
"43","Maine Republican Party[22]"
"44","Maryland Republican Party[11]"
"45","Massachusetts Republican Party[23]"
"46","Michigan Republican Party[11]"
"47","Republican Party of Minnesota[24]"
"48","Mississippi Republican Party[25]"
"49","Missouri Republican Party[26]"
"50","Montana Republican Party[27]"
"51","Nebraska Republican Party[28]"
"52","New Hampshire Republican State Committee[29]"
"53","New Jersey Republican State Committee[11]"
"54","Republican Party of New Mexico[30]"
"55","New York Republican State Committee[11]"
"56","North Carolina Republican Party[11]"
"57","North Dakota Republican Party[11]"
"58","Ohio Republican Party[11]"
"59","Oklahoma Republican Party[31]"
"60","Oregon Republican Party[32]"
"61","Republican State Committee of Pennsylvania[11]"
"62","South Carolina Republican Party[33]"
"63","South Dakota Republican Party[34]"
"64","Tennessee Republican Party[11]"
"65","Republican Party of Texas[35]"
"66","Republican Party of Virginia[36]"
"67","Washington State Republican Party[37]"
"68","West Virginia Republican Party[38]"
"69","Wyoming Republican Party[39]"
"70","George W. Bush 1 (R-Texas)[40]"
"71","1 During his presidency, George W. Bush, opposed same-sex marriage. On February 24, 2004, Bush announced his support for an amendment to the US Constitution banning same-sex marriage.[41] On October 24, 2004, Bush announced his support for civil unions.[42] However, in his post presidency interviews, he refused to take a position on the issue of same-sex marriage.[43][44]"
"72","Senate Minority Leader Mitch McConnell[45] (R-Kentucky)"
"73","Senate Minority Whip John Cornyn[45][46][47] (R-Texas)"
"74","Lamar Alexander[45] (R-Tennessee)"
"75","Kelly Ayotte[48] (R-New Hampshire)"
"76","John Barrasso[49] (R-Wyoming)"
"77","Roy Blunt[50] (R-Missouri)"
"78","John Boozman[51] (R-Arkansas)"
"79","Richard Burr[45][52] (R-North Carolina)"
"80","Saxby Chambliss[45][53] (R-Georgia)"
"81","Dan Coats[54] (R-Indiana)"
"82","Tom Coburn[45][55][56] (R-Oklahoma)"
"83","Thad Cochran[45] (R-Mississippi)"
"84","Bob Corker[57] (R-Tennessee)"
"85","Mike Crapo[45][53] (R-Idaho)"
"86","Ted Cruz[58] (R-Texas)"
"87","Mike Enzi[45][53] (R-Wyoming)"
"88","Deb Fischer[59] (R-Nebraska)"
"89","Jeff Flake[60][61] (R-Arizona)"
"90","Lindsey Graham[45][53] (R-South Carolina)"
"91","Chuck Grassley[45] (R-Iowa)"
"92","Orrin Hatch[45] (R-Utah)"
"93","Dean Heller[62] (R-Nevada)"
"94","John Hoeven[63] (R-North Dakota)"
"95","Jim Inhofe[45][53] (R-Oklahoma)"
"96","Johnny Isakson[45][53] (R-Georgia)"
"97","Mike Johanns[64] (R-Nebraska)"
"98","Ron Johnson[65] (R-Wisconsin)"
"99","Mike Lee[66] (R-Utah)"
"100","John McCain[67] (R-Arizona)"
"101","Jerry Moran[68] (R-Kansas)"
"102","Rand Paul[69] (R-Kentucky)"
"103","Mark Pryor[70] (D-Arkansas)"
"104","Jim Risch[71] (R-Idaho)"
"105","Pat Roberts[45][53] (R-Kansas)"
"106","Marco Rubio[72] (R-Florida)"
"107","Tim Scott[73] (R-South Carolina)"
"108","Jeff Sessions[45][74] (R-Alabama)"
"109","Richard Shelby[45][53] (R-Alabama)"
"110","John Thune[45][75] (R-South Dakota)"
"111","Pat Toomey[76] (R-Pennsylvania)"
"112","David Vitter[45][53] (R-Louisiana)"
"113","Roger Wicker[77] (R-Mississippi)"
"114","Spencer Abraham[79] (R-Michigan)"
"115","Wayne Allard[45] (R-Colorado)"
"116","George Allen[45] (R-Virginia)"
"117","John Ashcroft[79] (R-Missouri)"
"118","Evan Bayh[80] (D-Indiana)"
"119","Bob Bennett[45] (R-Utah)"
"120","Kit Bond[45] (R-Missouri)"
"121","David L. Boren[81] (D-Oklahoma)"
"122","Hank Brown[79] (R-Colorado)"
"123","Scott Brown[82] (R-Massachusetts)"
"124","Sam Brownback[83] (R-Kansas)"
"125","Dale Bumpers[79] (D-Arkansas)"
"126","Jim Bunning[45] (R-Kentucky)"
"127","Conrad Burns[45] (R-Montana)"
"128","Roland Burris[84] (D-Illinois)"
"129","Richard Bryan[79] (D-Nevada)"
"130","Robert Byrd[85] (D-West Virginia)"
"131","John Chafee[79] (R-Rhode Island)"
"132","Lawton Chiles[86] (D-Florida)"
"133","Norm Coleman[45] (R-Minnesota)"
"134","Kent Conrad[87] (D-North Dakota)"
"135","Paul Coverdell[79] (R-Georgia)"
"136","Larry Craig[45] (R-Idaho)"
"137","Tom Daschle (D-South Dakota)"
"138","Al D'Amato[79] (R-New York)"
"139","Jim DeMint[45][88] (R-South Carolina)"
"140","Mike DeWine[45] (R-Ohio)"
"141","Bob Dole[89] (R-Kansas)"
"142","Elizabeth Dole[45] (R-North Carolina)"
"143","Pete Domenici[45][90] (R-New Mexico)"
"144","John Edwards[91] (D-North Carolina)"
"145","John Ensign[45] (R-Nevada)"
"146","J. James Exon[79] (D-Nebraska)"
"147","Duncan Faircloth[79] (R-North Carolina)"
"148","Sheila Frahm[79] (R-Kansas)"
"149","Bill Frist[45] (R-Tennessee)"
"150","Peter Fitzgerald[92] (R-Illinois)"
"151","Wendell Ford[79] (D-Kentucky)"
"152","John Glenn[79] (D-Ohio)"
"153","Slade Gorton[79] (R-Washington)"
"154","Bob Graham[79] (D-Florida)"
"155","Phil Gramm[79] (R-Texas)"
"156","Rod Grams[79] (R-Minnesota)"
"157","Mark Hatfield[79] (R-Oregon)"
"158","Howell Heflin[79] (D-Alabama)"
"159","Jesse Helms[79] (R-North Carolina)"
"160","Kay Bailey Hutchison[45][93] (R-Texas)"
"161","Dirk Kempthorne[79] (R-Idaho)"
"162","Jon Kyl[94] (R-Arizona)"
"163","George LeMieux[95] (R-Florida)"
"164","Blanche Lincoln[96] (D-Arkansas)"
"165","Joe Lieberman[97] (D/ID-Connecticut)"
"166","Trent Lott[45] (R-Mississippi)"
"167","Richard Lugar[45] (R-Indiana)"
"168","Connie Mack III[79] (R-Florida)"
"169","Mel Martinez[45] (R-Florida)"
"170","Zell Miller[92] (D-Georgia)"
"171","Frank Murkowski[79] (R-Alaska)"
"172","Ben Nelson[45][98] (D-Nebraska)"
"173","Don Nickles[92] (R-Oklahoma)"
"174","Samuel Nunn[79] (D-Georgia)"
"175","William V. Roth, Jr.[79] (R-Delaware)"
"176","Rick Santorum[45][99] (R-Pennsylvania)"
"177","Bob Smith[79] (R-New Hampshire)"
"178","Gordon H. Smith[45] (R-Oregon)"
"179","Ted Stevens[45] (R-Alaska)"
"180","John E. Sununu[100] (R-New Hampshire)"
"181","Jim Talent[45] (R-Missouri)"
"182","Craig Thomas[45] (R-Wyoming)"
"183","Strom Thurmond[79] (R-South Carolina)"
"184","John Warner[45] (R-Virginia)"
"185","Pete Wilson[101] (R-California)"
"186","Speaker John Boehner (R-Ohio)[102]"
"187","Majority Leader Kevin McCarthy (R-California)[60][61]"
"188","Majority Whip Steve Scalise (R-Louisiana)[60][61]"
"189","Robert Aderholt (R-Alabama)[60][61]"
"190","Mark Amodei (R-Nevada)[60][61]"
"191","Michele Bachmann (R-Minnesota)[60][61]"
"192","Spencer Bachus (R-Alabama)[60][61]"
"193","Lou Barletta (R-Pennsylvania)[60][61]"
"194","John Barrow (D-Georgia)[60][61]"
"195","Andy Barr (R-Kentucky)"
"196","Joe Barton (R-Texas)[60][61]"
"197","Dan Benishek (R-Michigan)[60][61]"
"198","Kerry Bentivolio (R-Michigan)[103]"
"199","Gus Bilirakis (R-Florida)[60][61]"
"200","Rob Bishop (R-Utah)[60][61]"
"201","Sanford Bishop Jr. (D-Georgia)[60][61]"
"202","Diane Black (R-Tennessee)[60][61]"
"203","Marsha Blackburn (R-Tennessee)[60][61]"
"204","Charles Boustany (R-Louisiana)[60][61]"
"205","Kevin Brady (R-Texas)[60][61]"
"206","Jim Bridenstine (R-Oklahoma)[104]"
"207","Mo Brooks (R-Alabama)[60][61]"
"208","Paul Broun (R-Georgia)[60][61]"
"209","Vern Buchanan (R-Florida)[60][61]"
"210","Larry Bucshon (R-Indiana)[60][61]"
"211","Michael Burgess (R-Texas)[60][61]"
"212","Bradley Byrne (R-Alabama)[105]"
"213","Ken Calvert (R-California)[60][61]"
"214","Dave Camp (R-Michigan)[60][61]"
"215","John B. T. Campbell III (R-California)[60][61]"
"216","Shelley Moore Capito (R-West Virginia)[60][61]"
"217","John Carter (R-Texas)[60][61]"
"218","Bill Cassidy (R-Louisiana)[60][61]"
"219","Steven Chabot (R-Ohio)[60][61]"
"220","Jason Chaffetz (R-Utah)[60][61]"
"221","Howard Coble (R-North Carolina)[60][61]"
"222","Mike Coffman (R-Colorado)[60][61]"
"223","Tom Cole (R-Oklahoma)[60][61]"
"224","Chris Collins (R-New York)[106]"
"225","Doug Collins (R-Georgia)[107]"
"226","Michael Conaway (R-Texas)[60][61]"
"227","Paul Cook (R-California)[108]"
"228","Tom Cotton (R-Arkansas)[109]"
"229","Kevin Cramer (R-North Dakota)[110]"
"230","Rick Crawford (R-Arkansas)[60][61]"
"231","Ander Crenshaw (R-Florida)[60][61]"
"232","Henry Cuellar (D-Texas)[60][61]"
"233","John Culberson (R-Texas)[60][61]"
"234","Steve Daines (R-Montana)[111]"
"235","Rodney L. Davis (R-Illinois)[112]"
"236","Jeff Denham (R-California)[60][61]"
"237","Ron DeSantis (R-Florida)[113]"
"238","Scott DesJarlais (R-Tennessee)[60][61]"
"239","Sean Duffy (R-Wisconsin)[60][61]"
"240","Jeff Duncan (R-South Carolina)[60][61]"
"241","Renee Ellmers (R-North Carolina)[60][61]"
"242","William Enyart (D-Illinois)[114]"
"243","Blake Farenthold (R-Texas)[60][61]"
"244","Stephen Fincher (R-Tennessee)[60][61]"
"245","Michael Fitzpatrick (R-Pennsylvania)[60][61]"
"246","Chuck Fleischmann (R-Tennessee)[60][61]"
"247","John Fleming (R-Louisiana)[60][61]"
"248","Bill Flores (R-Texas)[60][61]"
"249","Randy Forbes (R-Virginia)[60][61]"
"250","Jeff Fortenberry (R-Nebraska)[60][61]"
"251","Virginia Foxx (R-North Carolina)[60][61]"
"252","Trent Franks (R-Arizona)[60][61]"
"253","Rodney Frelinghuysen (R-New Jersey)[60][61]"
"254","Pete Gallego (D-Texas)[114]"
"255","Cory Gardner (R-Colorado)[60][61]"
"256","Scott Garrett (R-New Jersey)[60][61]"
"257","Jim Gerlach (R-Pennsylvania)[60][61]"
"258","Bob Gibbs (R-Ohio)[60][61]"
"259","Chris Gibson (R-New York)[60][61]"
"260","John Gingrey (R-Georgia)[60][61]"
"261","Bob Goodlatte (R-Virginia)[60][61]"
"262","Paul Gosar (R-Arizona)[60][61]"
"263","Kay Granger (R-Texas)[60][61]"
"264","Tom Graves (R-Georgia)[60][61]"
"265","Samuel Graves (R-Missouri)[60][61]"
"266","Tim Griffin (R-Arkansas)[60][61]"
"267","Morgan Griffith (R-Virginia)[60][61]"
"268","Michael Grimm (R-New York)[60][61]"
"269","Brett Guthrie (R-Kentucky)[60][61]"
"270","Ralph Hall (R-Texas)[60][61]"
"271","Gregg Harper (R-Mississippi)[60][61]"
"272","Andy Harris (R-Maryland)[60][61]"
"273","Vicky Hartzler (R-Missouri)[60][61]"
"274","Doc Hastings (R-Washington)[60][61]"
"275","Nan Hayworth (R-New York)[60][61]"
"276","Joe Heck (R-Nevada)[60][61]"
"277","Jeb Hensarling (R-Texas)[60][61]"
"278","Jaime Herrera (R-Washington)[60][61]"
"279","George Holding (R-North Carolina)[115]"
"280","Richard Hudson (R-North Carolina)[116]"
"281","Tim Huelskamp (R-Kansas)[60][61]"
"282","Bill Huizenga (R-Michigan)[60][61]"
"283","Randy Hultgren (R-Illinois)[60][61]"
"284","Duncan Hunter (R-California)[60][61]"
"285","Robert Hurt (R-Virginia)[60][61]"
"286","Darrell Issa (R-California)[60][61]"
"287","Lynn Jenkins (R-Kansas)[60][61]"
"288","Samuel Johnson (R-Texas)[60][61]"
"289","Bill Johnson (R-Ohio)[60][61]"
"290","Walter Jones (R-North Carolina)[60][61]"
"291","Jim Jordan (R-Ohio)[60][61]"
"292","David Joyce (R-Ohio)[117]"
"293","Mike Kelly (R-Pennsylvania)[60][61]"
"294","Steve King (R-Iowa)[60][61]"
"295","Peter King (R-New York)[60][61]"
"296","Jack Kingston (R-Georgia)[60][61]"
"297","Adam Kinzinger (R-Illinois)[60][61]"
"298","John Kline (R-Minnesota)[60][61]"
"299","Raúl Labrador (R-Idaho)[60][61]"
"300","Doug Lamborn (R-Colorado)[60][61]"
"301","Doug LaMalfa (R-California)[118]"
"302","Leonard Lance (R-New Jersey)[60][61]"
"303","James Lankford (R-Oklahoma)[60][61]"
"304","Tom Latham (R-Iowa)[60][61]"
"305","Robert Latta (R-Ohio)[60][61]"
"306","Dan Lipinski (D-Illinois)[60][61]"
"307","Frank LoBiondo (R-New Jersey)[60][61]"
"308","Billy Long (R-Missouri)[60][61]"
"309","Frank Lucas (R-Oklahoma)[60][61]"
"310","Blaine Luetkemeyer (R-Missouri)[60][61]"
"311","Cynthia Lummis (R-Wyoming)[61]"
"312","Jim Matheson (D-Utah)[60][61]"
"313","Kenny Marchant (R-Texas)[60][61]"
"314","Thomas Marino (R-Pennsylvania)[60][61]"
"315","Thomas Massie (R-Kentucky)[119]"
"316","Mark Meadows (R-North Carolina)[120]"
"317","Vance McAllister (R-Louisiana)[121]"
"318","Michael McCaul (R-Texas)[61]"
"319","Tom McClintock (R-California)[60][61]"
"320","Patrick McHenry (R-North Carolina)[60][61]"
"321","Mike McIntyre (D-North Carolina)[60][61]"
"322","Howard McKeon (R-California)[60][61]"
"323","David McKinley (R-West Virginia)[60][61]"
"324","Cathy McMorris Rodgers (R-Washington)[60][61]"
"325","Pat Meehan (R-Pennsylvania)[60][61]"
"326","Luke Messer (R-Indiana)[122]"
"327","John Mica (R-Florida)[60][61]"
"328","Jeff Miller (R-Florida)[60][61]"
"329","Gary Miller (R-California)[60][61]"
"330","Candice Miller (R-Michigan)[60][61]"
"331","Markwayne Mullin (R-Oklahoma)[123]"
"332","Mick Mulvaney (R-South Carolina)[60][61]"
"333","Tim Murphy (R-Pennsylvania)[60][61]"
"334","Randy Neugebauer (R-Texas)[60][61]"
"335","Kristi Noem (R-South Dakota)[60][61]"
"336","Richard Nugent (R-Florida)[60][61]"
"337","Devin Nunes (R-California)[60][61]"
"338","Alan Nunnelee (R-Mississippi)[60][61]"
"339","Pete Olson (R-Texas)[60][61]"
"340","Steven Palazzo (R-Mississippi)[60][61]"
"341","Erik Paulsen (R-Minnesota)[60][61]"
"342","Stevan Pearce (R-New Mexico)[60][61]"
"343","Scott Perry (R-Pennsylvania)[124]"
"344","Tom Petri (R-Wisconsin)[60][61]"
"345","Robert Pittenger (R-North Carolina)[125]"
"346","Joseph Pitts (R-Pennsylvania)[60][61]"
"347","Ted Poe (R-Texas)[60][61]"
"348","Mike Pompeo (R-Kansas)[60][61]"
"349","Bill Posey (R-Florida)[60][61]"
"350","Tom Price (R-Georgia)[60][61]"
"351","Nick Rahall (D-West Virginia)[60][61]"
"352","Tom Reed (R-New York)[60][61]"
"353","David Reichert (R-Washington)[61]"
"354","Jim Renacci (R-Ohio)[60][61]"
"355","Reid Ribble (R-Wisconsin)[60][61]"
"356","Tom Rice (R-South Carolina)[126]"
"357","Scott Rigell (R-Virginia)[60][61]"
"358","Martha Roby (R-Alabama)[60][61]"
"359","Phil Roe (R-Tennessee)[60][61]"
"360","Michael Rogers (R-Alabama)[60][61]"
"361","Michael Rogers (R-Michigan)[60][61]"
"362","Harold Rogers (R-Kentucky)[60][61]"
"363","Dana Rohrabacher (R-California)[60][61]"
"364","Todd Rokita (R-Indiana)[60][61]"
"365","Thomas Rooney (R-Florida)[60][61]"
"366","Peter Roskam (R-Illinois)[60][61]"
"367","Dennis Ross (R-Florida)[60][61]"
"368","Keith Rothfus (R-Pennsylvania)[127]"
"369","Edward Royce (R-California)[60][61]"
"370","Jon Runyan (R-New Jersey)[60][61]"
"371","Paul Ryan (R-Wisconsin)[60][61]"
"372","Matt Salmon (R-Arizona)[128]"
"373","Mark Sanford (R-South Carolina)[129]"
"374","Aaron Schock (R-Illinois)[60][61]"
"375","David Schweikert (R-Arizona)[60][61]"
"376","Austin Scott (R-Georgia)[60][61]"
"377","James Sensenbrenner (R-Wisconsin)[60][61]"
"378","Pete Sessions (R-Texas)[60][61]"
"379","John Shimkus (R-Illinois)[60][61]"
"380","Bill Shuster (R-Pennsylvania)[60][61]"
"381","Michael Simpson (R-Idaho)[60][61]"
"382","Jason Smith (R-Missouri)[130]"
"383","Lamar Smith (R-Texas)[60][61]"
"384","Christopher Smith (R-New Jersey)[60][61]"
"385","Steve Southerland (R-Florida)[60][61]"
"386","Steve Stivers (R-Ohio)[60]"
"387","Chris Stewart (R-Utah)[103]"
"388","Marlin Stutzman (R-Indiana)[60][61]"
"389","Lee Terry (R-Nebraska)[61]"
"390","Glenn Thompson (R-Pennsylvania)[60][61]"
"391","Mac Thornberry (R-Texas)[60][61]"
"392","Patrick Tiberi (R-Ohio)[60][61]"
"393","Scott Tipton (R-Colorado)[60][61]"
"394","Michael Turner (R-Ohio)[60][61]"
"395","Frederick Upton (R-Michigan)[60][61]"
"396","Filemon Vela, Jr. (D-Texas)[131]"
"397","Ann Wagner (R-Missouri)[132]"
"398","Timothy Walberg (R-Michigan)[60][61]"
"399","Greg Walden (R-Oregon)[60][61]"
"400","Jackie Walorski (R-Indiana)[133]"
"401","Randy Weber (R-Texas)[134]"
"402","Daniel Webster (R-Florida)[60][61]"
"403","Lynn Westmoreland (R-Georgia)[60][61]"
"404","Brad Wenstrup (R-Ohio)[135]"
"405","Edward Whitfield (R-Kentucky)[60][61]"
"406","Roger Williams (R-Texas)[136]"
"407","Joe Wilson (R-South Carolina)[60][61]"
"408","Rob Wittman (R-Virginia)[60][61]"
"409","Frank Wolf (R-Virginia)[60][61]"
"410","Steve Womack (R-Arkansas)[60][61]"
"411","Rob Woodall (R-Georgia)[60][61]"
"412","Kevin Yoder (R-Kansas)[60][61]"
"413","Ted Yoho (R-Florida)[137]"
"414","Don Young (R-Alaska)[60][61]"
"415","Sandy Adams (R-Florida)[60][61]"
"416","Todd Akin (R-Missouri)[60]"
"417","Wayne Allard (R-Colorado)"
"418","George Allen[45] (R-Virginia)"
"419","Rodney Alexander (R-Louisiana)[60][61]"
"420","Steve Austria (R-Ohio)[60][61]"
"421","J. Gresham Barrett (R-South Carolina)"
"422","Roscoe Bartlett (R-Maryland)[60][61]"
"423","Rick Berg (R-North Dakota)[60][61]"
"424","Robert Marion Berry[140] (D-Arkansas)"
"425","Roy Blunt (R-Missouri)"
"426","Brian Bilbray (R-California)[60][61]"
"427","Jo Bonner (R-Alabama)[60][61]"
"428","John Boozman (R-Arkansas)"
"429","Dan Boren (D-Oklahoma)[60][61]"
"430","Rick Boucher[140] (D-Virginia)"
"431","Allen Boyd[140] (D-Florida)"
"432","Nancy Boyda (D-Kansas)[141]"
"433","Hank Brown[79] (R-Colorado)"
"434","Henry E. Brown, Jr. (R-South Carolina)"
"435","Ginny Brown-Waite (R-Florida)"
"436","Ann Marie Buerkle (R-New York)[60]"
"437","Jim Bunning (R-Kentucky)"
"438","Richard Burr (R-North Carolina)"
"439","Dan Burton (R-Indiana)[60][61]"
"440","Robert Byrd[85] (D-West Virginia)"
"441","Francisco Canseco (R-Texas)[60][61]"
"442","Former Majority Leader Eric Cantor (R-Virginia)[142]"
"443","Brad Carson[140] (D-OK 2)"
"444","Saxby Chambliss (R-Georgia)"
"445","Ben Chandler (D-Kentucky)[60][61]"
"446","Dan Coats (R-Indiana)"
"447","Tom Coburn (R-Oklahoma)"
"448","Thad Cochran (R-Mississippi)"
"449","Jerry Costello (D-Illinois)[60][61]"
"450","Larry Craig (R-Idaho)"
"451","Robert E. Cramer[140] (D-Alabama)"
"452","Mike Crapo (R-Idaho)"
"453","Chip Cravaack (R-Minnesota)[60][61]"
"454","Philip M. Crane (R-Illinois)"
"455","Mark Critz (D-Pennsylvania)[60][61]"
"456","Geoff Davis (R-Kentucky)[60][61]"
"457","Lincoln Davis[140] (D-Tennessee)"
"458","Nathan Deal (D/R-Georgia)"
"459","Jim DeMint (R-South Carolina)"
"460","Mike DeWine (R-Ohio)"
"461","Bob Dold (R-Illinois)[60][61]"
"462","Bob Dole[89] (R-Kansas)"
"463","David Dreier (R-California)[60][61]"
"464","Chet Edwards[140] (D-Texas)"
"465","Edwin Edwards[81] (D-Louisiana)"
"466","Bob Ehrlich[143] (R-MD 2)"
"467","Jo Ann Emerson (R-Missouri)[60][61]"
"468","John Ensign (R-Nevada)"
"469","Mary Fallin (R-Oklahoma)"
"470","Jeff Flake (R-Arizona)[60][61]"
"471","Elton Gallegly (R-California)[60][61]"
"472","Jim Gibbons[144] (R-NV 2)"
"473","Lindsey Graham (R-South Carolina)"
"474","Phil Gramm[79] (R-Texas)"
"475","Rod Grams[79] (R-Minnesota)"
"476","Chuck Grassley (R-Iowa)"
"477","Frank Guinta (R-New Hampshire)[60][61]"
"478","Katherine Harris (R-Florida)[145]"
"479","Dean Heller[62] (R-Nevada)"
"480","Walter Herger (R-California)[60][61]"
"481","Peter Hoekstra (R-Michigan)"
"482","Tim Holden (D-Pennsylvania)[60][61]"
